,Component_,Connector_Data_,Connector_,Pattern_,Quality_Attribute_,Technology_,Requirement_,,
,page,,"dump
","service/oriented
","modifiability
","EMS
",,,
,partition,,"dumping
","SOA
","modifiable
","ems
",,,
,back_end,,"grab
","Software as a service
","modularity
","Enterprise Services Explorer
",,,
,front_end,,"grabs
","SaaS
","operability
","Entity Framework
",,,
,,,"pushing
","store-and-forward queue
","operable
","ERPConnect
",,,
,,,"push
","shared repository
","orthogonality
","ErpConnect
",,,
,,,"link
","shared-repository
","portability
","Finagle
",,,
,,,"links
","active repository
","portable
","finagle
",,,
,,,"linking
","active-repository
","precision
","Finatra
",,,
,,,"routing
","repository
","predictability
","GNOME Bonobo
",,,
,,,"route
","blackboard
","predictable
","grails
",,,
,,,"share
","proxy
","producibility
","groovy
",,,
,,,"shares
","resource pool
","provability
","Groovy
",,,
,,,"shared
","cache
","recoverability
","Groovy SOAP library
",,,
,,,"sharing
","lookup
","recoverable
","Groovy WSLite
",,,
,,,"gets
","evictor
","reliability
","groovy wslite
",,,
,,,"get
","handler
","reliable
","GroovyWS
",,,
,,,"getting
","reactor
","reliably
","groovyws
",,,
,,,"pull
","master-slave
","repeatability
","hadoop
",,,
,,,"pulls
","master slave
","repeatable
","Hazelcast
",,,
,,,"pulling
","master/slave
","reproducibility
","Heroku
",,,
,,,"collect
","encapsulation
","resilience
","http
",,,
,,,"collects
","encapsulate
","responsiveness
","HTTP
",,,
,,,"collecting
","intermediary
","reusability
","HTTP Builder
",,,
,,,"save
","cohesion
","reusable
","HTTPS
",,,
,,,"saving
","replication
","reuse
","IronMQ
",,,
,,,"saves
","interceptor
","robustness
","IronWorker
",,,
,,,"accept
","reflection
","robust
","JIntegra
",,,
,,,"accepting
","interpreter
","roundtrip
","java
",,,
,,,"accespts
","microkernel
","safety
","Java
",,,
,,,"queries
","pipes and filters
","safe
","Java EE
",,,
,,,"transmit
","pipe
","scalability
","Java JMS
",,,
,,,"transmits
","filter
","scale
","JAX
",,,
,,,"transmitted
","facade
","scalable
","JAX-RPC
",,,
,,,"transmitting
","monitor
","scaling
","JAX-WS
",,,
,,,"??exposing
","monitoring
","seamlessness
","JAX-RS
",,,
,,,"exposes
","ping
","sustainability
","JAX-WS
",,,
,,,"exposed
","heartbeat
","sustainable
","jax-ws
",,,
,,,"trigger
","timestamp
","serviceability
","JBoss
",,,
,,,"triggers
","sanity
","speed
","jdbc
",,,
,,,"triggering
","voting
","supportability
","Jigsaw
",,,
,,,"triggered
","redundancy
","securability
","jms
",,,
,,,"notify
","shadow
","secure
","JMS
",,,
,,,"notifies
","orchestration
","security
","jMSMQ
",,,
,,,"notified
","orchestrate
","simplicity
","JNI
",,,
,,,notifing,"coherence
","simple
","jni4net
",,,
,,,dependency,"concurrency
","stability
","JS
",,,
,,,rout,"authenticate
","stable
","JSON
",,,
,,,sink,"authentication
","survivability
","JSON messaging
",,,
,,,response,"authorise
","tailorability
","KDE
",,,
,,,address,"authorize
","tailorable
","LINQ
",,,
,,,,"authorization
","tailor
","MassTransit
",,,
,,,,"encrypt
","testability
","MessagePack
",,,
,,,,"encryption
","testable
","Microsoft sync frame work
",,,
,,,,"ipc
","throughput
","Microsoft WCF
",,,
,,,,"load balancing
","traceability
","MINA
",,,
,,,,"load-balancing
","traceable
","MS-SQL 2005+
",,,
,,,,"load balance
","transparency
","MSMQ
",,,
,,,,"load-balance
","transparent
","msmq
",,,
,,,,"multi-tenant
","ubiquity
","MsmqJava
",,,
,,,,"multi tenant
","understandability
","MT
",,,
,,,,"multitenant
","understable
","MTOM
",,,
,,,,"named-pipes
","upgradability
","MVC controllers
",,,
,,,,"namedpipes
","upgradable
","native dll
",,,
,,,,"named pipes
","usability
","Netapi32.dll
",,,
,,,,"data-ingest
",usable,"netty
",,,
,,,,"dataingest
",good,"Netty
",,,
,,,,"transactional
",,"Netty 4.x
",,,
,,,,"stream
",,"NIO
",,,
,,,,"stream-storage
",,"NServiceBus
",,,
,,,,"streamstorage
",,"nservicebus
",,,
,,,,"stream-processing
",,"nusoap
",,,
,,,,"streamprocessing
",,"ODBC
",,,
,,,,"structured
",,"OLEDB
",,,
,,,,"unstructured
",,"ORBit
",,,
,,,,"hot
",,"OSGi
",,,
,,,,"warm
",,"osgi
",,,
,,,,"cold
",,"PI
",,,
,,,,"batch
",,"PInvoke
",,,
,,,,"batch-processing
",,"Play
",,,
,,,,"temperature
",,"POX
",,,
,,,,"interactive analytics
",,"protobuf
",,,
,,,,interactive-analytics,,"protobuf-net
",,,
,,,,microservice,,"ProtoBuffers
",,,
,,,,microservices,,"protobufs
",,,
,,,,esp,,"protocol
",,,
,,,,bi,,"Protocol Buffer
",,,
,,,,,,"protocol buffers
",,,
,,,,,,"Protocol Buffers
",,,
,,,,,,"Protocol buffers
",,,
,,,,,,"ProtoRPC
",,,
,,,,,,"Protorpc
",,,
,,,,,,"RabbitMQ
",,,
,,,,,,"Rabbitmq
",,,
,,,,,,"rabbitmq
",,,
,,,,,,"RackSpace
",,,
,,,,,,"Rails
",,,
,,,,,,"Remoting
",,,
,,,,,,"remoting
",,,
,,,,,,"Rendezvous
",,,
,,,,,,"REST
",,,
,,,,,,"rest.li
",,,
,,,,,,"RESTEasy
",,,
,,,,,,"RESTExpress
",,,
,,,,,,"RestExpress
",,,
,,,,,,"RESTfull
",,,
,,,,,,"RESTFull
",,,
,,,,,,"RFC
",,,
,,,,,,"RFCs
",,,
,,,,,,"RIA
",,,
,,,,,,"RIA services
",,,
,,,,,,"RIA Services
",,,
,,,,,,"RMI
",,,
,,,,,,"Ruby
",,,
,,,,,,"RV
",,,
,,,,,,"rv
",,,
,,,,,,"rvd
",,,
,,,,,,"RX
",,,
,,,,,,"rx
",,,
,,,,,,"SAP
",,,
,,,,,,"SAP .NET connector
",,,
,,,,,,"SAP 4.6C
",,,
,,,,,,"SAP Connector
",,,
,,,,,,"SAP Connector for .NET
",,,
,,,,,,"Scala
",,,
,,,,,,"Scalatra
",,,
,,,,,,"ServerSocket
",,,
,,,,,,"Service Broker
",,,
,,,,,,"service broker
",,,
,,,,,,"SignalR
",,,
,,,,,,"Silverlight
",,,
,,,,,,"silverlight
",,,
,,,,,,"Silverlight enabled WCF Service
",,,
,,,,,,"Silverlight- enabled web service
",,,
,,,,,,"Silverlight-enabled WCF service
",,,
,,,,,,"silverlight-enabled wcf service
",,,
,,,,,,"Silverlight-enabled WCF services
",,,
,,,,,,"Silverlight-enabled web service
",,,
,,,,,,"Sitrion
",,,
,,,,,,"soap
",,,
,,,,,,"SOAP
",,,
,,,,,,"SOAP/HTTP
",,,
,,,,,,"SOAPlib
",,,
,,,,,,"sockets
",,,
,,,,,,"Spread
",,,
,,,,,,"spring
",,,
,,,,,,"Spring Remoting
",,,
,,,,,,"spring web services
",,,
,,,,,,"Spring WS
",,,
,,,,,,"springws
",,,
,,,,,,"springws grails plugin
",,,
,,,,,,"SQL
",,,
,,,,,,"SQL Database table
",,,
,,,,,,"SQL Server
",,,
,,,,,,"SQL server Service Broker
",,,
,,,,,,"SQS
",,,
,,,,,,"Storm
",,,
,,,,,,"StormMQ
",,,
,,,,,,"Struts
",,,
,,,,,,"Sun RPC
",,,
,,,,,,"tcp
",,,
,,,,,,"terracotta
",,,
,,,,,,"Terracotta
",,,
,,,,,,"Thrift
",,,
,,,,,,"Tibco
",,,
,,,,,,"tibco
",,,
,,,,,,"TIBCO
",,,
,,,,,,"Tibco EMS
",,,
,,,,,,"Tomcat
",,,
,,,,,,"transaction SOAMANAGER
",,,
,,,,,,"UDP
",,,
,,,,,,"udp
",,,
,,,,,,"Vert.x
",,,
,,,,,,"WCF
",,,
,,,,,,"Web service
",,,
,,,,,,"web service
",,,
,,,,,,"WebService
",,,
,,,,,,"WebServices
",,,
,,,,,,"WebSphere MQ
",,,
,,,,,,"Windows Management Instrumentation 
",,,
,,,,,,"Windows Service
",,,
,,,,,,"WMI
",,,
,,,,,,"WPF
",,,
,,,,,,"WS
",,,
,,,,,,"WS-I Basic Profile
",,,
,,,,,,"ws security
",,,
,,,,,,"WSDL
",,,
,,,,,,"wsdl
",,,
,,,,,,"WSMQ
",,,
,,,,,,"XI
",,,
,,,,,,"XML
",,,
,,,,,,"Zend
",,,
,,,,,,"Zend Framework
",,,
,,,,,,"Zend SOAP
",,,
,,,,,,"ZeroMQ
",,,
,,,,,,"zeromq
",,,
,,,,,,"ZMQ
",,,
,,,,,,"ZSI
",,,
,,,,,,"jet
",,,
,,,,,,"mqtt
",,,
,,,,,,"redis
",,,
,,,,,,"wamp
",,,
,,,,,,"saml
",,,
,,,,,,"swing
",,,
,,,,,,"qpid
",,,
,,,,,,"xmpp
",,,
,,,,,,".net
",,,
,,,,,,".net-2.0
",,,
,,,,,,".net 2.0
",,,
,,,,,,".net 2
",,,
,,,,,,".net-2
",,,
,,,,,,".net-3.5
",,,
,,,,,,".net 3.5
",,,
,,,,,,".net-4.0
",,,
,,,,,,".net 4.0
",,,
,,,,,,".net-4
",,,
,,,,,,".net 4
",,,
,,,,,,".net-4.5
",,,
,,,,,,".net 4.5
",,,
,,,,,,"access-vba
",,,
,,,,,,"access vba
",,,
,,,,,,"vba
",,,
,,,,,,"achartengine
",,,
,,,,,,"actionscript
",,,
,,,,,,"actionscript-2
",,,
,,,,,,"actionscript 2
",,,
,,,,,,"actionscript-3
",,,
,,,,,,"actionscript 3
",,,
,,,,,,"active-directory
",,,
,,,,,,"active directory
",,,
,,,,,,"activemq
",,,
,,,,,,"activex
",,,
,,,,,,"ada
",,,
,,,,,,"ado
",,,
,,,,,,"ado.net
",,,
,,,,,,"aem
",,,
,,,,,,"afnetworking
",,,
,,,,,,"afnetworking-2
",,,
,,,,,,"afnetworking 2
",,,
,,,,,,"aggregation-framework
",,,
,,,,,,"air
",,,
,,,,,,"ajax
",,,
,,,,,,"akka
",,,
,,,,,,"alamofire
",,,
,,,,,,"alfresco
",,,
,,,,,,"amazon-cloudfront
",,,
,,,,,,"amazon cloudfront
",,,
,,,,,,"cloudfront
",,,
,,,,,,"amazon-dynamodb
",,,
,,,,,,"amazon dynamodb
",,,
,,,,,,"dynamodb
",,,
,,,,,,"amazon-ec2
",,,
,,,,,,"amazon ec2
",,,
,,,,,,"ec2
",,,
,,,,,,"amazon-redshift
",,,
,,,,,,"amazon redshift
",,,
,,,,,,"redshift
",,,
,,,,,,"amazon-s3
",,,
,,,,,,"amazon s3
",,,
,,,,,,"s3
",,,
,,,,,,"amazon-web-services
",,,
,,,,,,"amazon web service
",,,
,,,,,,"amqp
",,,
,,,,,,"anaconda
",,,
,,,,,,"andengine
",,,
,,,,,,"android-sqlite
",,,
,,,,,,"android-support-library
",,,
,,,,,,"android-xml
",,,
,,,,,,"angular2
",,,
,,,,,,"angularfire
",,,
,,,,,,"angularjs
",,,
,,,,,,"ansible
",,,
,,,,,,"ansible-playbook
",,,
,,,,,,"ansible playbook
",,,
,,,,,,"playbook
",,,
,,,,,,"antlr
",,,
,,,,,,"antlr4
",,,
,,,,,,"apache
",,,
,,,,,,"apache-camel
",,,
,,,,,,"apache camel
",,,
,,,,,,"camel
",,,
,,,,,,"apache-commons
",,,
,,,,,,"apache commons
",,,
,,,,,,"commons
",,,
,,,,,,"apache-httpclient-4.x
",,,
,,,,,,"apache httpclient
",,,
,,,,,,"apache-kafka
",,,
,,,,,,"apache kafka
",,,
,,,,,,"kafka
",,,
,,,,,,"apache-pig
",,,
,,,,,,"apache pig
",,,
,,,,,,"pig
",,,
,,,,,,"apache-poi
",,,
,,,,,,"apache poi
",,,
,,,,,,"poi
",,,
,,,,,,"apache-spark
",,,
,,,,,,"apache spark
",,,
,,,,,,"spark
",,,
,,,,,,"apache-spark-sql
",,,
,,,,,,"apache-storm
",,,
,,,,,,"apache
",,,
,,,,,,"apache2
",,,
,,,,,,"apex-code
",,,
,,,,,,"apex
",,,
,,,,,,"applescript
",,,
,,,,,,"applet
",,,
,,,,,,"arcgis
",,,
,,,,,,"arduino
",,,
,,,,,,"asihttprequest
",,,
,,,,,,"asp
",,,
,,,,,,"asp-classic
",,,
,,,,,,"asp.net
",,,
,,,,,,"asp.net-3.5
",,,
,,,,,,"asp.net-4.0
",,,
,,,,,,"asp.net-ajax
",,,
,,,,,,"asp.net-core
",,,
,,,,,,"asp.net-mvc
",,,
,,,,,,"asp.net-mvc-2
",,,
,,,,,,"asp.net-mvc-3
",,,
,,,,,,"asp.net-mvc-4
",,,
,,,,,,"asp.net-mvc-5
",,,
,,,,,,"asp.net-mvc-routing
",,,
,,,,,,"asp.net-web-api
",,,
,,,,,,"asp.net-web-api2
",,,
,,,,,,"aspectj
",,,
,,,,,,"autofac
",,,
,,,,,,"autohotkey
",,,
,,,,,,"autoit
",,,
,,,,,,"autolayout
",,,
,,,,,,"automapper
",,,
,,,,,,"avfoundation
",,,
,,,,,,"awk
",,,
,,,,,,"aws-sdk
",,,
,,,,,,"aws
",,,
,,,,,,"awt
",,,
,,,,,,"axapta
",,,
,,,,,,"axis
",,,
,,,,,,"axis2
",,,
,,,,,,"azure
",,,
,,,,,,"babeljs
",,,
,,,,,,"backbone.js
",,,
,,,,,,"beautifulsoup
",,,
,,,,,,"birt
",,,
,,,,,,"bison
",,,
,,,,,,"biztalk
",,,
,,,,,,"blade
",,,
,,,,,,"blender
",,,
,,,,,,"blogger
",,,
,,,,,,"boost
",,,
,,,,,,"boost-asio
",,,
,,,,,,"boost asio
",,,
,,,,,,"boto
",,,
,,,,,,"bouncycastle
",,,
,,,,,,"box2d
",,,
,,,,,,"breeze
",,,
,,,,,,"broadcastreceiver
",,,
,,,,,,"browserify
",,,
,,,,,,"bundler
",,,
,,,,,,"c
",,,
,,,,,,"c#
",,,
,,,,,,"c#-2.0
",,,
,,,,,,"c#-3.0
",,,
,,,,,,"c#-4.0
",,,
,,,,,,"c++
",,,
,,,,,,"c++-cli
",,,
,,,,,,"c++11
",,,
,,,,,,"c++14
",,,
,,,,,,"c++builder
",,,
,,,,,,"cakephp
",,,
,,,,,,"cakephp-1.3
",,,
,,,,,,"cakephp-2.0
",,,
,,,,,,"cakephp-3.0
",,,
,,,,,,"caliburn.micro
",,,
,,,,,,"carrierwave
",,,
,,,,,,"cassandra
",,,
,,,,,,"cassandra-2.0
",,,
,,,,,,"cdi
",,,
,,,,,,"celery
",,,
,,,,,,"cgi
",,,
,,,,,,"chart.js
",,,
,,,,,,"chef
",,,
,,,,,,"clojure
",,,
,,,,,,"clojurescript
",,,
,,,,,,"cloudfoundry
",,,
,,,,,,"cluster-computing
",,,
,,,,,,"cmake
",,,
,,,,,,"cocoa
",,,
,,,,,,"cocoa-touch
",,,
,,,,,,"cocoapods
",,,
,,,,,,"cocos2d-x
",,,
,,,,,,"codeigniter
",,,
,,,,,,"codeigniter-2
",,,
,,,,,,"codenameone
",,,
,,,,,,"coffeescript
",,,
,,,,,,"coldfusion
",,,
,,,,,,"coldfusion-9
",,,
,,,,,,"com
",,,
,,,,,,"com-interop
",,,
,,,,,,"common-lisp
",,,
,,,,,,"compact-framework
",,,
,,,,,,"compass-sass
",,,
,,,,,,"cordova
",,,
,,,,,,"cordova-plugins
",,,
,,,,,,"core-animation
",,,
,,,,,,"core-audio
",,,
,,,,,,"core-bluetooth
",,,
,,,,,,"core-data
",,,
,,,,,,"core-graphics
",,,
,,,,,,"core-location
",,,
,,,,,,"core-plot
",,,
,,,,,,"corona
",,,
,,,,,,"couchbase
",,,
,,,,,,"couchdb
",,,
,,,,,,"cq5
",,,
,,,,,,"cql
",,,
,,,,,,"cron
",,,
,,,,,,"crontab
",,,
,,,,,,"cruisecontrol.net
",,,
,,,,,,"crystal-reports
",,,
,,,,,,"css
",,,
,,,,,,"css3
",,,
,,,,,,"ctypes
",,,
,,,,,,"cuda
",,,
,,,,,,"cxf
",,,
,,,,,,"cygwin
",,,
,,,,,,"cypher
",,,
,,,,,,"cython
",,,
,,,,,,"d
",,,
,,,,,,"d3.js
",,,
,,,,,,"dapper
",,,
,,,,,,"dart
",,,
,,,,,,"datastax
",,,
,,,,,,"db2
",,,
,,,,,,"dbcontext
",,,
,,,,,,"delphi
",,,
,,,,,,"delphi-2010
",,,
,,,,,,"delphi-7
",,,
,,,,,,"delphi-xe
",,,
,,,,,,"delphi-xe2
",,,
,,,,,,"derby
",,,
,,,,,,"directshow
",,,
,,,,,,"directx
",,,
,,,,,,"directx-11
",,,
,,,,,,"django
",,,
,,,,,,"django-orm
",,,
,,,,,,"django-rest-framework
",,,
,,,,,,"doctrine
",,,
,,,,,,"doctrine2
",,,
,,,,,,"docusign
",,,
,,,,,,"dojo
",,,
,,,,,,"dotnetnuke
",,,
,,,,,,"dplyr
",,,
,,,,,,"dreamweaver
",,,
,,,,,,"drools
",,,
,,,,,,"dropzone.js
",,,
,,,,,,"drupal
",,,
,,,,,,"drupal-6
",,,
,,,,,,"drupal-7
",,,
,,,,,,"durandal
",,,
,,,,,,"dynamics-crm
",,,
,,,,,,"dynamics-crm-2011
",,,
,,,,,,"dynamics-crm-2013
",,,
,,,,,,"ecmascript-6
",,,
,,,,,,"ehcache
",,,
,,,,,,"eigen
",,,
,,,,,,"ejabberd
",,,
,,,,,,"ejb
",,,
,,,,,,"ejb-3.0
",,,
,,,,,,"el
",,,
,,,,,,"elastic-beanstalk
",,,
,,,,,,"elisp
",,,
,,,,,,"elixir
",,,
,,,,,,"eloquent
",,,
,,,,,,"ember.js
",,,
,,,,,,"emgucv
",,,
,,,,,,"enterprise-library
",,,
,,,,,,"enterprise library
",,,
,,,,,,"entity framework
",,,
,,,,,,"entity-framework
",,,
,,,,,,"entity-framework-4
",,,
,,,,,,"entity-framework-4.1
",,,
,,,,,,"entity-framework-5
",,,
,,,,,,"entity-framework-6
",,,
,,,,,,"erlang
",,,
,,,,,,"ews
",,,
,,,,,,"expressionengine
",,,
,,,,,,"extjs
",,,
,,,,,,"extjs4
",,,
,,,,,,"extjs4.1
",,,
,,,,,,"extjs4.2
",,,
,,,,,,"f#
",,,
,,,,,,"fabric
",,,
,,,,,,"fabricjs
",,,
,,,,,,"facebook-android-sdk
",,,
,,,,,,"facebook-c#-sdk
",,,
,,,,,,"facebook-fql
",,,
,,,,,,"facebook-graph-api
",,,
,,,,,,"facebook-ios-sdk
",,,
,,,,,,"facebook-javascript-sdk
",,,
,,,,,,"facebook-php-sdk
",,,
,,,,,,"facelets
",,,
,,,,,,"factory-girl
",,,
,,,,,,"factory girl
",,,
,,,,,,"fastcgi
",,,
,,,,,,"ffmpeg
",,,
,,,,,,"firebase
",,,
,,,,,,"firebase-database
",,,
,,,,,,"firebird
",,,
,,,,,,"firefox-addon-sdk
",,,
,,,,,,"firemonkey
",,,
,,,,,,"flash
",,,
,,,,,,"flash-cs5
",,,
,,,,,,"flask
",,,
,,,,,,"flask-sqlalchemy
",,,
,,,,,,"flex
",,,
,,,,,,"flex-lexer
",,,
,,,,,,"flex3
",,,
,,,,,,"flex4
",,,
,,,,,,"flex4.5
",,,
,,,,,,"flexbox
",,,
,,,,,,"flot
",,,
,,,,,,"fluent-nhibernate
",,,
,,,,,,"fluent nhibernate
",,,
,,,,,,"fortran
",,,
,,,,,,"fortran90
",,,
,,,,,,"fosuserbundle
",,,
,,,,,,"foursquare
",,,
,,,,,,"freemarker
",,,
,,,,,,"ftp
",,,
,,,,,,"fxml
",,,
,,,,,,"g++
",,,
,,,,,,"gcc
",,,
,,,,,,"gd
",,,
,,,,,,"gdi
",,,
,,,,,,"gdi+
",,,
,,,,,,"geojson
",,,
,,,,,,"ggplot2
",,,
,,,,,,"ghc
",,,
,,,,,,"ghostscript
",,,
,,,,,,"glassfish
",,,
,,,,,,"glassfish-3
",,,
,,,,,,"glsl
",,,
,,,,,,"glut
",,,
,,,,,,"gmail-api
",,,
,,,,,,"gmail api
",,,
,,,,,,"google-analytics-api
",,,
,,,,,,"google analytics api
",,,
,,,,,,"google-api
",,,
,,,,,,"google api
",,,
,,,,,,"google-app-engine
",,,
,,,,,,"google app engine
",,,
,,,,,,"google-cloud-endpoints
",,,
,,,,,,"google cloud endpoints
",,,
,,,,,,"google-cloud-messaging
",,,
,,,,,,"google cloud messaging
",,,
,,,,,,"google-cloud-platform
",,,
,,,,,,"google cloud
",,,
,,,,,,"google-cloud-storage
",,,
,,,,,,"google-compute-engine
",,,
,,,,,,"google-drive-sdk
",,,
,,,,,,"google-maps-android-api-2
",,,
,,,,,,"google-maps-api-2
",,,
,,,,,,"google-maps-api-3
",,,
,,,,,,"google-oauth
",,,
,,,,,,"google oauth
",,,
,,,,,,"google-places-api
",,,
,,,,,,"google-play-services
",,,
,,,,,,"google-spreadsheet-api
",,,
,,,,,,"google-visualization
",,,
,,,,,,"gorm
",,,
,,,,,,"grails
",,,
,,,,,,"grails-2.0
",,,
,,,,,,"graph-databases
",,,
,,,,,,"graphviz
",,,
,,,,,,"groovy
",,,
,,,,,,"gson
",,,
,,,,,,"gstreamer
",,,
,,,,,,"gst
",,,
,,,,,,"gtk
",,,
,,,,,,"gtk3
",,,
,,,,,,"guava
",,,
,,,,,,"guice
",,,
,,,,,,"gulp
",,,
,,,,,,"gunicorn
",,,
,,,,,,"gwt
",,,
,,,,,,"gxt
",,,
,,,,,,"h.264
",,,
,,,,,,"h2
",,,
,,,,,,"hadoop
",,,
,,,,,,"haml
",,,
,,,,,,"handlebars.js
",,,
,,,,,,"haskell
",,,
,,,,,,"hbase
",,,
,,,,,,"hdfs
",,,
,,,,,,"heroku
",,,
,,,,,,"hibernate
",,,
,,,,,,"highcharts
",,,
,,,,,,"highstock
",,,
,,,,,,"hive
",,,
,,,,,,"hql
",,,
,,,,,,"hsqldb
",,,
,,,,,,"html
",,,
,,,,,,"html5
",,,
,,,,,,"http
",,,
,,,,,,"https
",,,
,,,,,,"hudson
",,,
,,,,,,"iad
",,,
,,,,,,"ibm-bluemix
",,,
,,,,,,"ibm bluemix
",,,
